iter_num,completion_cross_entropy,context_cross_entropy,cross_entropy,detached_cross_entropy,full_cross_entropy,inproject_cross_entropy,infile_cross_entropy,commited_cross_entropy,common_cross_entropy,non_informative_cross_entropy,random_cross_entropy,completion_exact_match,inproject_top_1_accuracy,inproject_top_3_accuracy,inproject_top_5_accuracy,inproject_top_10_accuracy,epoch,learning_rate
29,1.0423884149594171,1.081349707720997,1.0423884149594171,1.081349707720997,1.0733337402343763,0.7483148925118607,0.8779701198388009,0.9987125720007942,0.9594610600129172,1.3675648349136957,0.9436001689387754,0.29407844142527556,0.8204409441811831,0.9137466906938976,0.9381076330952858,0.9595541613829006,0.15139897218370177,2.0299999999999995e-05
30,0.9526779614046186,1.092614752784347,0.9526779614046186,1.092614752784347,1.0607604980468757,0.713158806247058,0.7926913040447292,0.957210262019832,1.0420394950259517,1.3188143111646367,0.7596786731589181,0.3059686290486861,0.8285062270884417,0.9215362579204195,0.942560268019713,0.9617877691728776,0.15661962639693286,2.1e-05
31,0.9100208216476906,1.0130249247444065,0.9100208216476906,1.0130249247444065,0.9900207519531262,0.7156412698881933,0.7987869911103572,0.7603452710482517,0.8908139530304942,1.14064980319593,0.8320132977961375,0.33900631347790283,0.823191674783411,0.9210027169733942,0.9443789408930128,0.9645511867534731,0.16184028061016395,2.1699999999999996e-05
32,1.2024739111359823,0.9729398676845986,1.2024739111359823,0.9729398676845986,1.0235290527343752,0.8788417526312641,0.8590832236070148,0.7973354205033792,0.9625800277578795,1.4739327172093042,1.1611253563853141,0.2916061864958206,0.7902969694922126,0.9000641913578161,0.9267542822392648,0.9512821379100646,0.16706093482339507,2.24e-05
33,0.989288927394871,0.9775921273486015,0.989288927394871,0.9775921273486015,0.9802093505859385,0.6581901064862236,0.6733567793905804,0.8313655333211014,0.8252938980519657,1.3886559090445396,0.764297803817661,0.33632053105737314,0.839494076779193,0.9270211692051898,0.9486951100026721,0.9673406371544788,0.17228158903662616,2.31e-05
34,0.9229214790402523,0.9579801406948973,0.9229214790402523,0.9579801406948973,0.949844360351563,0.6829554540829105,0.6444407660344228,0.7080686751430892,0.7020872566751198,1.3455003838153727,0.7467740542681013,0.3201847400914275,0.8308021988260506,0.9264185223143576,0.9466365415075002,0.9655967576632815,0.17750224324985725,2.3799999999999996e-05
35,0.9199939152530585,0.9220701545019788,0.9199939152530585,0.9220701545019788,0.9218444824218757,0.6213247470718494,0.7900382275635885,0.8396203063447499,0.9606337450776513,1.223073156552639,0.8300640311559605,0.3027905576815582,0.8421987410071943,0.935251798561151,0.955238309352518,0.9729541366906475,0.18272289746308834,2.45e-05
36,0.8521877577533995,0.9544217448295085,0.8521877577533995,0.9544217448295085,0.9302978515625006,0.5953976881929122,0.5492957053995908,0.6687631933976341,0.8501396835876369,1.229487250108594,0.6822336513900558,0.35577189259020026,0.8538040369371578,0.9345972596769361,0.9540192312930729,0.9696003922530032,0.18794355167631943,2.5199999999999996e-05
37,1.0216591566472217,0.9246894920744436,1.0216591566472217,0.9246894920744436,0.9462280273437507,0.5728485121229626,0.5793420264423903,0.6857627248584882,0.6464730196220927,1.3676466846716588,1.0360744595606348,0.33596582724879553,0.8573975993399515,0.9389455193889229,0.9577356080163948,0.973278684161499,0.19316420588955052,2.59e-05
38,1.061678189368751,0.9327848112318203,1.061678189368751,0.9327848112318203,0.9590911865234382,0.7036966150213297,0.6416052162888656,0.7516059528512071,0.6938707734916283,1.259127891904613,1.109138412783909,0.32750689972401104,0.8329714687624231,0.9215314516375646,0.9407051772117061,0.9583193174520657,0.19838486010278164,2.6599999999999996e-05
