iter_num,completion_cross_entropy,context_cross_entropy,cross_entropy,detached_cross_entropy,full_cross_entropy,inproject_cross_entropy,infile_cross_entropy,commited_cross_entropy,common_cross_entropy,non_informative_cross_entropy,random_cross_entropy,completion_exact_match,inproject_top_1_accuracy,inproject_top_3_accuracy,inproject_top_5_accuracy,inproject_top_10_accuracy,epoch,learning_rate
23,1.0283985067770092,1.7089493202108579,1.0283985067770092,1.7089493202108579,1.576718031631817,0.9200735399297041,0.7889600356698322,0.7000540930991772,0.845946773405998,1.3762905348604941,0.811927012572663,0.2480428512566955,0.7858100376001308,0.894098414255354,0.9210397253555664,0.9461173777995749,0.1200750469043152,1.61e-05
24,1.043271831465627,1.5020133074533042,1.043271831465627,1.5020133074533042,1.402626923689536,0.794925740141671,0.6818493306481401,0.7835384092203082,0.8269073323712258,1.5290402839092707,0.8156675610454864,0.2723602047044462,0.8010922590740343,0.9134783542478446,0.9388212192802136,0.9609732151075384,0.1252957011175463,1.68e-05
25,0.960498221021948,1.5125403847595602,0.960498221021948,1.5125403847595602,1.405903386720027,0.8313872462829603,0.5904471890438275,0.5681545163272474,0.729144356280356,1.3209754995186012,0.7597449114389586,0.29997242900468707,0.7999615063835247,0.9020658240841727,0.9283697953422724,0.9524603836530442,0.13051635533077738,1.75e-05
26,1.0193187215861668,1.5630807684834847,1.0193187215861668,1.5630807684834847,1.45521176986101,0.7440755077010632,0.722054861760529,0.6419003721925176,0.7015463463345865,1.3820912863975818,0.8686932171863884,0.2722804364264881,0.8193816096591073,0.9162320260496211,0.9408120335417687,0.9625968936403193,0.1357370095440085,1.82e-05
27,0.9296346237882174,1.6173067909836165,0.9296346237882174,1.6173067909836165,1.4592444977257946,0.724481997282609,0.7106913759359466,0.7413521314387208,0.8334052938211577,1.343751787196565,0.719746568070946,0.27956886684471577,0.8194249649368864,0.9215395404034955,0.9452206278994498,0.9653144891574064,0.1409576637572396,1.89e-05
28,0.9136311656848757,1.5733780840150386,0.9136311656848757,1.5733780840150386,1.4418759724579582,0.6663650198874663,0.6006758902836771,0.5183561549831084,0.5940218372505253,1.2960855978260868,0.7026738970512888,0.3101021326136424,0.8356061865957093,0.9293475248073618,0.9499417927823051,0.9679028770996175,0.14617831797047068,1.96e-05
29,0.8341210044070068,1.3882542734292385,0.8341210044070068,1.3882542734292385,1.268708095489915,0.5716560365636612,0.6051356527060943,0.7187997850321108,0.6828289294778828,1.234833666217754,0.6671037437074729,0.343923296190723,0.8579056263765601,0.9380186433513538,0.9571069434247703,0.9723241896371443,0.15139897218370177,2.0299999999999995e-05
30,0.7945413405865216,1.5851377903872241,0.7945413405865216,1.5851377903872241,1.4042445545250721,0.6058058007521351,0.5416303335790986,0.6242354201346852,0.8749341341190643,1.1395055468508197,0.6051256403850648,0.3436179420599766,0.8511732329084588,0.9353756276554654,0.9538914638856701,0.9695828505214369,0.15661962639693286,2.1e-05
31,0.7757904785217611,1.5761917606833475,0.7757904785217611,1.5761917606833475,1.3940537784805551,0.6484106510393306,0.6366301268777655,0.552121582588098,0.6662585055443552,1.0734545867904492,0.6301255288545102,0.3641386931896671,0.8381350284513251,0.9288204234377403,0.950376787819757,0.9694468652278669,0.16184028061016395,2.1699999999999996e-05
32,1.0358521559186329,1.3477045491781392,1.0358521559186329,1.3477045491781392,1.2780611140392812,0.7453746655820288,0.629256077405997,0.6271512298718924,0.9771298296472061,1.3072454355088197,0.9848283784324898,0.31314757066693494,0.8202979830399676,0.9193891685529917,0.9406736714078179,0.9594243048751647,0.16706093482339507,2.24e-05
33,0.8812087616862253,1.3801271293816073,0.8812087616862253,1.3801271293816073,1.2605042073927941,0.6213815345400598,0.5485745933667855,0.6471611447641135,0.6417780496987951,1.2712373703026925,0.6512272116702421,0.33602316419044004,0.8462337816573142,0.9324248092396307,0.9527923755232921,0.9706065734390309,0.17228158903662616,2.31e-05
34,0.8169759889982743,1.552507706964853,0.8169759889982743,1.552507706964853,1.3796120437555892,0.6212965143278907,0.5252460105859469,0.5950219050310911,0.695078264841886,1.2764862259285654,0.5895912734844813,0.3478897868519306,0.846384980900028,0.9328938786918849,0.9525062890151869,0.9692769961800056,0.17750224324985725,2.3799999999999996e-05
35,0.8339083438502757,1.3919773550018932,0.8339083438502757,1.3919773550018932,1.2555854595752431,0.5493887373011748,0.6313060659800152,0.667023974387998,0.8217002467105265,1.1746619873631807,0.7192078476606769,0.30785462061837915,0.8575764388489209,0.9435476618705037,0.9624325539568346,0.9763938848920863,0.18272289746308834,2.45e-05
36,0.7910544898125603,1.5080323713725334,0.7910544898125603,1.5080323713725334,1.3353045831119945,0.5867582317374221,0.45377745226534105,0.5287954182863005,0.8014735548708917,1.1691107195231387,0.611689421360784,0.36157225433526013,0.8550298275721173,0.9364223257334314,0.953991991501185,0.9703903462177549,0.18794355167631943,2.5199999999999996e-05
37,0.9833214154395763,1.3676464052492026,0.9833214154395763,1.3676464052492026,1.2814160068528957,0.5547930497381761,0.47503763899528983,0.5636209612758304,0.6032849426006673,1.3533967155971247,0.983530139494023,0.3278516968156675,0.8611769089505762,0.9405956404865196,0.9587735874164959,0.9734916030128018,0.19316420588955052,2.59e-05
38,1.0378280055580977,1.358945506907761,1.0378280055580977,1.358945506907761,1.2937316894531252,0.7089425513315726,0.5451289953879778,0.6100160487518395,0.609819865942552,1.2735199504699957,1.059814480082205,0.31640836674975614,0.8300051986177793,0.9200024464083667,0.9401853154337788,0.9579217760924742,0.19838486010278164,2.6599999999999996e-05
39,0.7312893769524211,1.4159290345210525,0.7312893769524211,1.4159290345210525,1.273103363129928,0.5323922081305061,0.5487449707594436,0.46857919549052957,0.6786538285818715,1.1376209980124823,0.5599306885004004,0.38137082601054484,0.8660046955435414,0.9438473302173305,0.9601094190880307,0.9746914510952679,0.20360551431601273,2.73e-05
40,0.8226830543194579,1.4066129182339064,0.8226830543194579,1.4066129182339064,1.28912353515625,0.5730398377085518,0.5286433233643271,0.642938601524249,0.5158986593504388,1.173312770526265,0.6083271535166227,0.3709172492956277,0.8592187632779084,0.9373424354870691,0.954479789253038,0.9700308755629833,0.20882616852924382,2.7999999999999996e-05
41,0.9403481947454337,1.3392775188031383,0.9403481947454337,1.3392775188031383,1.2587142746711857,0.6630968476042034,0.5163078349584596,0.4581372213503479,0.6431068082826327,1.1240213009996276,0.9704182942708336,0.3451595457003786,0.8353008196980726,0.9299933537994113,0.9499952527138652,0.966832294205146,0.2140468227424749,2.8699999999999996e-05
42,0.7769381549206072,1.3419584134706137,0.7769381549206072,1.3419584134706137,1.218654291978428,0.5776446472264187,0.48875171946030616,0.40804854547953145,0.7376805230288841,1.2073836713517259,0.5668114352664618,0.36378539493293593,0.8564109301103521,0.9380714661061482,0.9581713084603258,0.9724908039936941,0.219267476955706,2.94e-05
43,0.7171832979203031,1.4063187771839873,0.7171832979203031,1.4063187771839873,1.2486585041223455,0.49714587461755166,0.43954129860511415,0.453410690180813,0.6707069429596824,1.0263345481654336,0.594210550779964,0.4107309341786314,0.871946321410008,0.9472900817464442,0.9633558569200964,0.9776496715966545,0.2244881311689371,3.0099999999999996e-05
44,0.8396041831499683,1.4789290739194676,0.8396041831499683,1.4789290739194676,1.3539911880143227,0.5556987961429418,0.49648322568902337,0.5992202945273184,0.8921418521593414,1.2421619883261241,0.6310786456611932,0.35317788435036657,0.8567809239940387,0.9421013412816691,0.9606929955290611,0.9750372578241431,0.2297087853821682,3.0799999999999996e-05
45,0.7678262238428063,1.3509487546522494,0.7678262238428063,1.3509487546522494,1.2397970395241902,0.5456721322979047,0.4675826053545481,0.5433039425415233,0.6264532103118792,1.1027716621525043,0.5902616233033611,0.3714978915140662,0.8613439787092482,0.9434797072521623,0.9612774451097804,0.9750831669993346,0.2349294395953993,3.149999999999999e-05
46,0.8186870878879388,1.3078409792462053,0.8186870878879388,1.3078409792462053,1.2011401816697505,0.5349944723306913,0.4996455921265485,0.6023024944225437,0.6780743212463556,1.2776713649208196,0.5892215846287462,0.3412625800548948,0.8653689241170299,0.9439561720480243,0.9609045343280103,0.9751019932393052,0.2401500938086304,3.22e-05
47,0.7362697417810283,1.3919855717516074,0.7362697417810283,1.3919855717516074,1.2448118065173093,0.5348219856650229,0.4973594829984774,0.5656782044507351,0.494122928901007,1.0581097425767643,0.625617919000239,0.3776360005844251,0.8660867118437404,0.9439350950828898,0.960395807442493,0.9733392735714118,0.24537074802186148,3.289999999999999e-05
48,0.8048705614635903,1.4495141098647857,0.8048705614635903,1.4495141098647857,1.3158721923828138,0.6217869986998585,0.5055699243060819,0.6200759430347408,0.6979133830595693,1.1577278304473768,0.6253533788825545,0.36120468600734074,0.8499105278854757,0.9317029525797793,0.9502311362958544,0.9668580375782881,0.2505914022350926,3.36e-05
49,0.7911067169002745,1.4956948042805163,0.7911067169002745,1.4956948042805163,1.3434095667512205,0.7195586737943422,0.5004146245180872,0.6278333774304375,0.6351970179211752,1.1503948226267235,0.5612760527702365,0.3477686957404681,0.8286878924754875,0.9213396496639858,0.9415555800374573,0.9594304285556902,0.25581205644832367,3.43e-05
50,0.768404559968824,1.4109060357491445,0.768404559968824,1.4109060357491445,1.2507082977410426,0.6064470444941324,0.47835529830414925,0.5858209351914854,0.7527759251393555,1.190120115429933,0.5667940543901152,0.3403462427472994,0.8451093152281306,0.9349682061155726,0.9544752109036556,0.9707901603627797,0.26103271066155476,3.5e-05
51,0.8038910696099348,1.45529970672573,0.8038910696099348,1.45529970672573,1.3212085142195256,0.5671557298935476,0.5256134450132266,0.485954432412283,0.6005879873793031,1.1979134316770184,0.5706569971809415,0.35270293075322046,0.8559254090328711,0.9384446358048519,0.9575674792885353,0.9728895091605547,0.26625336487478585,3.5e-05
52,0.754612858370008,1.4462770961571774,0.754612858370008,1.4462770961571774,1.298626516272012,0.5771930066689545,0.5028533575283559,0.6700595200818306,0.6580634375190455,1.0872441258992032,0.6048373982231466,0.36525591025085463,0.8585693401719567,0.9381798359721499,0.9563913872989915,0.9711588493272876,0.271474019088017,3.499971492418516e-05
