eval_name,composer_type,is_contaminated,inproject_em,infile_em
filled_python_files_2,pd_4k,False,0.3764932562620424,0.39018952062430323
filled_random_files,pd_4k,False,0.37032755298651254,0.3916759568933482
filled_text_files,pd_4k,False,0.3699421965317919,0.39241917502787066
half_memory,pd_4k,False,0.37071290944123314,0.38833147528799705
iou_python_files_2,pd_4k,False,0.3737957610789981,0.39241917502787066
irrelevant_code_chunks_2,pd_4k,False,0.3761078998073218,0.38387216648086214
irrelevant_declarations,pd_4k,False,0.37032755298651254,0.389817911557042
irrelevant_docstring_and_comment_chunks,pd_4k,False,0.37109826589595374,0.38833147528799705
irrelevant_filled_python_files_2,pd_4k,False,0.376878612716763,0.3890746934225195
irrelevant_filled_text_files,pd_4k,False,0.37341040462427744,0.3890746934225195
irrelevant_half_memory,pd_4k,False,0.36840077071290944,0.3835005574136009
irrelevant_iou_python_files_2,pd_4k,False,0.37495183044315994,0.38684503901895206
random_python_files_2,pd_4k,False,0.37341040462427744,0.3879598662207358
reversed_code_chunks_2,pd_4k,False,0.3745664739884393,0.38870308435525824
reversed_declarations,pd_4k,False,0.37263969171483624,0.38833147528799705
reversed_docstring_and_comment_chunks,pd_4k,False,0.3722543352601156,0.38758825715347456
reversed_filled_python_files_2,pd_4k,False,0.37109826589595374,0.39241917502787066
reversed_filled_text_files,pd_4k,False,0.36801541425818884,0.3879598662207358
reversed_half_memory,pd_4k,False,0.37109826589595374,0.39018952062430323
reversed_iou_python_files_2,pd_4k,False,0.37263969171483624,0.3905611296915645
completion_duplication_2,pd_4k,False,0.2836223506743738,0.2623560014864363
completion_leak,pd_4k,False,0.3510597302504817,0.3519137866963954
file_level,pd_4k,False,0.371868978805395,0.38610182088442957
file_level_2,pd_4k,False,0.36570327552986515,0.3864734299516908
irrelevant_completion_leak,pd_4k,False,0.3533718689788054,0.35228539576365664
random_tokens,pd_4k,False,0.36801541425818884,0.3853586027499071
reversed_completion_leak,pd_4k,False,0.3518304431599229,0.3500557413600892
no_extension,pd_16k,False,0.0,0.0
no_extension_2,pd_16k,False,0.08323699421965318,0.03567447045707915
code_chunks_2,pd_16k,False,0.48285163776493256,0.4830917874396135
declarations,pd_16k,False,0.4728323699421965,0.46859903381642515
docstring_and_comment_chunks,pd_16k,False,0.4789980732177264,0.47788926049795616
filled_python_files_2,pd_16k,False,0.48709055876685936,0.4923820141211446
filled_random_files,pd_16k,False,0.48516377649325626,0.4868078781122259
filled_text_files,pd_16k,False,0.4728323699421965,0.4808621330360461
half_memory,pd_16k,False,0.47784200385356457,0.47974730583426234
iou_python_files_2,pd_16k,False,0.48747591522157996,0.4890375325157934
irrelevant_code_chunks_2,pd_16k,False,0.47784200385356457,0.4756596060943887
irrelevant_declarations,pd_16k,False,0.46936416184971097,0.46897064288368634
irrelevant_docstring_and_comment_chunks,pd_16k,False,0.47630057803468207,0.47788926049795616
irrelevant_filled_python_files_2,pd_16k,False,0.48285163776493256,0.4830917874396135
irrelevant_filled_text_files,pd_16k,False,0.47552986512524087,0.4801189149015236
irrelevant_half_memory,pd_16k,False,0.4751445086705202,0.47788926049795616
irrelevant_iou_python_files_2,pd_16k,False,0.4797687861271676,0.4819769602378298
random_python_files_2,pd_16k,False,0.4882466281310212,0.4882943143812709
reversed_code_chunks_2,pd_16k,False,0.4813102119460501,0.48569305091044224
reversed_declarations,pd_16k,False,0.474373795761079,0.46971386101820883
reversed_docstring_and_comment_chunks,pd_16k,False,0.474373795761079,0.4756596060943887
reversed_filled_python_files_2,pd_16k,False,0.4859344894026975,0.48717948717948717
reversed_filled_text_files,pd_16k,False,0.47129094412331407,0.4801189149015236
reversed_half_memory,pd_16k,False,0.4751445086705202,0.4775176514306949
reversed_iou_python_files_2,pd_16k,False,0.4836223506743738,0.4845782237086585
completion_duplication_2,pd_16k,False,0.34836223506743735,0.28056484578223706
completion_leak,pd_16k,False,0.45202312138728323,0.4384986993682646
file_level,pd_16k,False,0.0,0.0
file_level_2,pd_16k,False,0.4485549132947977,0.4466740988480119
irrelevant_completion_leak,pd_16k,False,0.45009633911368013,0.4377554812337421
random_tokens,pd_16k,False,0.45009633911368013,0.45076179858788556
reversed_completion_leak,pd_16k,False,0.4481695568400771,0.43701226309921964
code_chunks_2,or_16k,False,0.48053949903660886,0.4882943143812709
declarations,or_16k,False,0.28246628131021195,0.34968413229282796
docstring_and_comment_chunks,or_16k,False,0.2724470134874759,0.3340765514678558
filled_python_files_2,or_16k,False,0.48709055876685936,0.4923820141211446
filled_random_files,or_16k,False,0.2955684007707129,0.3548866592344853
filled_text_files,or_16k,False,0.27129094412331406,0.34002229654403565
half_memory,or_16k,False,0.3761078998073218,0.40096618357487923
iou_python_files_2,or_16k,False,0.5136801541425818,0.5024154589371981
irrelevant_code_chunks_2,or_16k,False,0.27630057803468205,0.33444816053511706
irrelevant_declarations,or_16k,False,0.2836223506743738,0.3448532144184318
irrelevant_docstring_and_comment_chunks,or_16k,False,0.26859344894026976,0.34002229654403565
irrelevant_filled_python_files_2,or_16k,False,0.27360308285163776,0.33704942400594573
irrelevant_filled_text_files,or_16k,False,0.27129094412331406,0.33965068747677446
irrelevant_half_memory,or_16k,False,0.27090558766859346,0.3366778149386845
irrelevant_iou_python_files_2,or_16k,False,0.27167630057803466,0.33593459680416204
random_python_files_2,or_16k,False,0.32524084778420037,0.3600891861761427
reversed_code_chunks_2,or_16k,False,0.4816955684007707,0.48940914158305465
reversed_declarations,or_16k,False,0.28978805394990365,0.3504273504273504
reversed_docstring_and_comment_chunks,or_16k,False,0.274373795761079,0.3348197696023783
reversed_filled_python_files_2,or_16k,False,0.4886319845857418,0.49424005945745075
reversed_filled_text_files,or_16k,False,0.2705202312138728,0.33593459680416204
reversed_half_memory,or_16k,False,0.3691714836223507,0.39464882943143814
reversed_iou_python_files_2,or_16k,False,0.5117533718689788,0.5053883314752879
completion_duplication_2,or_16k,True,0.9533718689788054,0.9416573764399851
completion_leak,or_16k,True,0.8685934489402698,0.8580453363062058
file_level,or_16k,False,0.24393063583815028,0.29431438127090304
file_level_2,or_16k,False,0.261271676300578,0.33519137866963955
irrelevant_completion_leak,or_16k,True,0.8566473988439306,0.8513563730955035
random_tokens,or_16k,False,0.2631984585741811,0.3325901151988109
reversed_completion_leak,or_16k,True,0.8901734104046243,0.8762541806020067
