iter_num,completion_exact_match,context_exact_match,full_exact_match,completion_cross_entropy,context_cross_entropy,full_cross_entropy,completion_top_1_accuracy,completion_top_3_accuracy,completion_top_5_accuracy,completion_top_10_accuracy,context_top_1_accuracy,context_top_3_accuracy,context_top_5_accuracy,context_top_10_accuracy,full_top_1_accuracy,full_top_3_accuracy,full_top_5_accuracy,full_top_10_accuracy,epoch,num_completion_tokens,num_context_tokens,num_full_tokens,learning_rate
22,0.31621388867141625,0.0,0.3130765056972328,0.9092892304593911,7.422926447574336,0.9677382862863458,0.7906639461392445,0.8912689554170014,0.9164433132611493,0.9412266545333039,0.14632237871674492,0.22613458528951486,0.27543035993740217,0.32942097026604067,0.7848622980618162,0.8852800890535942,0.9106716360075244,0.9357179593763431,0.011052108966886845,3159753,27742,3187495,4.296875e-06
23,0.3180908619284073,0.0,0.31510168122751636,0.8778370854461499,7.359498031496066,0.9302459175092171,0.7968247075052368,0.8945549992336381,0.9198193940632504,0.9435446788943953,0.16220472440944883,0.23622047244094488,0.2937007874015748,0.33858267716535434,0.7917189301506455,0.889258428674598,0.9147820137595499,0.9386775121314632,0.011554477556290793,3316337,29012,3345349,4.4921875e-06
24,0.33715798764342453,0.0,0.3340134071699213,0.8965644172921127,7.404554834905657,0.9506905800008535,0.7955947369814418,0.8923503560744447,0.9167924178646123,0.9400034416117332,0.14779874213836477,0.21776729559748428,0.2775157232704403,0.3278301886792453,0.7901866582657321,0.8867186474495288,0.9114554619201386,0.9348927568191961,0.01205684614569474,3467429,30284,3497713,4.6875000000000004e-06
25,0.3415765069551777,0.0,0.3378630881603533,0.8382017637116936,7.518144360603658,0.8973181610977738,0.8088961288395055,0.8995646544978588,0.9215880151944117,0.9428146651680918,0.15091342335186655,0.23034154090548054,0.28038125496425736,0.32406671961874506,0.803055620183732,0.893624371637866,0.9158964163088615,0.9373224193969134,0.012559214735098688,3608007,31543,3639550,4.8828125e-06
26,0.2943602760371222,0.0,0.29140164899882215,0.9773193217683876,7.418874501992037,1.0336056283921244,0.777209064910183,0.8821086194961297,0.9092040583723158,0.9351038017522882,0.14422310756972112,0.24143426294820716,0.29561752988047807,0.3386454183266932,0.7717026644855408,0.8765353370116727,0.9038664152826683,0.9299151579005739,0.013061583324502635,3751020,32798,3783818,5.078125000000001e-06
27,0.3438868823484208,0.0,0.34053724982878014,0.8491088310998185,7.313837163232968,0.9038269038865545,0.8038552288999783,0.8977950748535474,0.9221563788240399,0.944802288999783,0.14976228209191758,0.24009508716323297,0.2971473851030111,0.35578446909667194,0.7983058823529412,0.8922151260504202,0.916853781512605,0.9398050420168067,0.013563951913906584,3898508,34060,3932568,5.2734375e-06
28,0.2982456140350877,0.0,0.29493407356002777,0.9206953589323791,7.3218527315914494,0.985244576920079,0.7902710035853872,0.8903388352336962,0.9160825608062276,0.939807487321942,0.15676959619952494,0.23436262866191607,0.2937450514647664,0.3341250989707047,0.7838751708646752,0.8837160968512938,0.9097994388444353,0.933692515527702,0.01406632050331053,4022344,35323,4057667,5.46875e-06
29,0.34322976601457617,0.0,0.3398921218567196,0.9267356745733948,7.274248633879778,0.9841543806346384,0.790514058910141,0.8867747373512487,0.912068683448683,0.935250058682524,0.14910226385636222,0.2419984387197502,0.30210772833723654,0.3434816549570648,0.784722418022387,0.8809527166098063,0.9065610285617617,0.9299066738094567,0.014568689092714478,4162931,36604,4199535,5.6640625000000005e-06
30,0.30932741116751267,0.0,0.3062185929648241,0.9122340902578863,7.452747584541064,0.9716239437331291,0.7868179569900411,0.8917516259772474,0.916896136781414,0.941457436677322,0.1537842190016103,0.22061191626409019,0.27375201288244766,0.33011272141706927,0.7810664306249497,0.8856538818864805,0.911052750934535,0.9359029692975077,0.015071057682118425,4298388,37846,4336234,5.859375e-06
31,0.3571483563014859,0.0,0.353663185179538,0.8141869018681966,7.553719635627528,0.8702667394303786,0.8111248019714838,0.903951092034176,0.9264687961220262,0.9482553179965607,0.12793522267206478,0.21295546558704453,0.2680161943319838,0.3101214574898785,0.8054598800867457,0.8982214433903357,0.9210089901370341,0.9429639924533876,0.015573426271522374,4446094,39081,4485175,6.054687500000001e-06
